name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J021756.4-050651,34.48533284106844,-5.114412525138187,0.30009345729614123,13.926760970244969,-0.36352279825109,-0.022485946283573,-0.34353529044347,2.9880513154709e-14,8.5960754055599e-15,5.7897338680574e-15,1.4847718664738e-14,False,True,169.8854483423647,-59.84809475590392,QSO,[VV2006] J021756.5-050652,AGN
2CXO J095721.1+693754,149.33815306000906,69.63186050596366,0.4667281840955239,13.926426872818427,-0.21236727045597,-0.089943785134291,-0.12492192379763,2.3126847665137e-14,6.0264804178769e-15,5.1085106943961e-15,1.2174253416562e-14,False,True,141.36130611414734,40.69914499761926,QSO,QSO B0953+698A,AGN
2CXO J151353.5-590056,228.47310296791477,-59.0157528817043,0.33665012641846714,13.92631984693576,-0.92317301686446,-0.74703310430981,-0.54965646470956,8.7005692463783e-15,5.5208955694399e-15,2.2908042714864e-15,8.6677313225432e-16,True,True,320.37924828851095,-1.056918976584051,,,
2CXO J170326.1-350417,255.85903670456605,-35.07160144802403,0.3017259739681989,13.92608139742,0.99937539038101,0.96939412866958,0.27232979387883,2.7640122077785e-13,0.0,1.1064737448379e-15,2.7813433953534e-13,False,True,349.8983397501875,3.9382999692146616,Sy*,V* V1535 Sco,other
2CXO J205101.5+441541,312.756496648797,44.26158998209192,0.4661813636885237,13.924069597745135,-0.21236727045597,-0.29106808244847,0.091193004372267,1.8494370968433e-14,3.4344400619063e-15,6.6563293557596e-15,8.2172573984418e-15,False,True,84.5532454455494,0.031660039347395245,Or*,EM* LkHA  146,other
2CXO J005607.3+262638,14.030540339780202,26.444152570430504,0.40868103137272477,13.92380509165721,-0.21986258588382,0.33479075577764,-0.51717676452217,1.4928323805178e-14,3.3396227245021e-15,1.4151998086531e-15,1.0300636212981e-14,False,False,124.23490798915029,-36.415743848282396,GiC,2MASX J00560733+2626387,AGN
2CXO J221409.1-165942,333.5382851967579,-16.995279224951304,0.4891526058975958,13.923215635583105,-0.34978138663335,-0.086196127420362,-0.26983135540287,1.5232921795478e-14,5.7800844456585e-15,2.5463893767088e-15,5.9397265529743e-15,False,False,40.19283833446434,-52.345906552943504,,,
2CXO J174534.4-285951,266.3934903202859,-28.99762543344695,0.309515450073363,13.922177341864625,0.88069956277327,0.99937539038101,-0.99937539038101,2.3404474309196e-15,5.3640062559399e-18,0.0,2.338325628591e-15,False,True,359.94231184233496,-0.023432623823460196,X,CXOGC J174534.4-285951,other
2CXO J205236.9-565338,313.15414174227294,-56.89402407221629,1.1775114644811586,13.92198065388,-0.20612117426608,0.056214865708932,-0.25733916302311,1.2785429275173e-13,2.0721870270815e-14,1.7437771692465e-14,9.2877819858696e-14,False,False,340.1959482518013,-38.84185770581516,,,
2CXO J134851.0+683545,207.21272083724193,68.59591159201128,0.9685639033414299,13.921393185302843,0.02998126171143,0.13616489693941,-0.10868207370394,1.1848892457593e-13,1.7445213503555e-14,2.1538694488493e-14,8.101392001581e-14,True,False,115.212170264719,47.66258036896011,,,
