name,ra,dec,err_ellipse_r0,significance,hard_hs,hard_hm,hard_ms,flux_aper_b,flux_aper_s,flux_aper_m,flux_aper_h,extent_flag,var_flag,glon,glat,simbad_otype,simbad_id,source_class
2CXO J053509.2-053058,83.78845117405797,-5.516334178040851,0.3230752578196689,71.95138505466961,0.67582760774516,0.32979387882573,0.44347282948157,4.8836758697942e-14,1.6892135453565e-15,7.9556571885496e-15,3.9739573706555e-14,True,True,209.1161390265758,-19.468070861479152,Or*,V* V1486 Ori,other
2CXO J053532.5-052610,83.88553838935167,-5.436253663924036,0.30098929859241474,71.85787060740388,-0.61211742660837,-0.2998126171143,-0.38101186758276,5.5720062432153e-14,2.2681821091254e-14,1.451423903739e-14,1.8774254707793e-14,False,True,209.0867018256948,-19.345669510930627,Or*,V* V1565 Ori,other
2CXO J165528.7-082011,253.86971809787087,-8.336472444634339,1.0437383069363997,71.85001210765739,-0.52592129918801,-0.052467207995003,-0.48594628357277,3.5589080117751e-12,1.3463436483811e-12,7.2667644875855e-13,1.503884069114e-12,True,False,11.044432152976821,21.141147638697984,**,HD 152751,stellar
2CXO J175154.7-292805,267.9779446898914,-29.46831341679601,0.33788257881133693,71.82431183377787,0.80574640849469,0.52467207995003,0.48594628357277,1.7034348088364e-13,3.5806511550322e-15,1.6941302229908e-14,1.5307653726809e-13,False,True,0.2515664338344761,-1.4508879799064691,,,
2CXO J114745.7+125404,176.94063149604062,12.901217940828195,0.7627251556697766,71.72693120274002,-0.85321673953779,-0.47595252966896,-0.63460337289194,1.8831666144548e-12,1.2911723874734e-12,3.3862138599221e-13,2.5234436159672e-13,False,True,253.47894142117244,69.40024406080654,PM*,V* GQ Leo,stellar
2CXO J104353.6-593322,160.97360708728627,-59.556167552273415,0.44507428983446345,71.66217315044868,-0.99937539038101,-0.99937539038101,-0.99937539038101,0.0,2.1228364764637e-16,0.0,0.0,False,True,287.4066099660575,-0.5851225835585214,*,Cl* Trumpler   14    VBF     307,stellar
2CXO J112740.1+565014,171.9172263885613,56.837426885899966,0.29574926122775774,71.64901387382142,-0.10243597751405,0.11992504684572,-0.21861336664585,2.9524897900357e-13,5.7199176776389e-14,5.3469798094332e-14,1.8795224620917e-13,True,True,143.829581175847,56.76108301189599,Bla,7C 112451.20+570647.00,AGN
2CXO J174538.3-290142,266.40989641528586,-29.028452355942896,0.3457591424911711,71.60123963203291,0.99937539038101,0.75952529668957,0.49094316052467,1.4693214202862e-16,,1.4049503771415e-17,1.4287704190425e-16,False,True,359.92347600506446,-0.051740839603221254,,,
2CXO J050527.1-674313,76.36307455941431,-67.72048118372378,0.3721430777317203,71.55752717693237,-0.71830106183635,-0.34603372891943,-0.4946908182386,5.9210719975014e-13,3.0598231440652e-13,1.3357104183345e-13,1.5345475491302e-13,True,True,278.4866109069483,-34.923225912304936,EB*,HD 268974,stellar
2CXO J053521.0-053121,83.8375397707506,-5.5227411443260035,0.3247086045589058,71.52446156806414,-0.64334790755778,-0.24484697064335,-0.47220487195503,4.1003884965323e-14,1.9096386781245e-14,8.9868448243884e-15,1.3059150985476e-14,False,True,209.14560719923756,-19.42737276452528,TT*,V* MZ Ori,stellar
2CXO J142902.4+335038,217.260213680363,33.84408639869796,0.3093017246584606,71.49594800192227,-0.69206745783885,-0.27732667083073,-0.51342910680824,2.9907407349151e-12,1.5400995034619e-12,6.0810401218009e-13,8.5082608181515e-13,True,True,56.65371375850598,67.9891869938927,X,NDWFS J142902.5+335039,other
2CXO J150058.2-083108,225.242841840339,-8.519004560375965,0.2956853696323932,71.49501482426281,-0.44347282948157,-0.084946908182386,-0.3735165521549,7.6456867153578e-12,2.6431355226636e-12,1.5909473361473e-12,3.4388557414361e-12,True,False,348.8668396620312,42.51160942072532,SB*,* del Lib,other
2CXO J053513.7-052135,83.8071743874093,-5.359956531598497,0.29408356849993716,71.45366834462577,0.97564022485946,0.7632729544035,0.82448469706433,4.9765392184542e-14,1.5883986315344e-16,2.7394951234722e-15,4.7420777671966e-14,False,True,208.97717410884707,-19.380744333344364,PoC,[SUK94] Clump 26,other
2CXO J053515.9-051458,83.8164591966775,-5.249633420677397,0.29813531214239974,71.44186772303345,-0.33728919425359,-0.14366021236727,-0.20362273579013,6.9061517230569e-14,1.8774636009338e-14,1.83263785205e-14,3.2613725066939e-14,False,True,208.8773523568035,-19.32255158845055,TT*,V* MM Ori,stellar
2CXO J104400.4-593242,161.00192695881356,-59.54522212788311,0.3975376198864178,71.42162624609763,-0.38226108682074,-0.097439100562149,-0.27607745159275,1.0557331009042e-15,3.0707921121124e-16,4.3515784763754e-16,3.6145367882723e-16,False,True,287.41413471780305,-0.5687164549421571,*,2MASS J10440047-5932431,stellar
2CXO J010303.8-215653,15.765986046461478,-21.948267359162447,0.29949474109208607,71.42080397153666,-0.25109306683323,0.027482823235478,-0.27607745159275,6.0686782239851e-13,1.8192352210577e-13,1.1485635576666e-13,3.1465476133683e-13,True,True,150.5900622821666,-84.18493303100207,,,
2CXO J004329.1+410748,10.871399992119336,41.13002266706797,0.29531772470926604,71.39376956454647,0.63335415365397,0.51467832604622,0.17489069331668,6.6261573818411e-13,3.2985516077309e-14,6.2434619716715e-14,5.7031795799306e-13,True,True,121.32017473999308,-21.716837109652836,X,2E   158,other
